[00:00:56] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/3341, l='ServerLevel[world_the_end]', x=45.30, y=60.00, z=3.30] died: Enderman was slain by suberboy45ds
[01:45:17] [Server thread/INFO]: Named entity EntityShulker['Shulker'/29562, l='ServerLevel[world_the_end]', x=-2187.50, y=130.00, z=-5662.50] died: Shulker was slain by suberboy45ds
[01:45:42] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28923, l='ServerLevel[world_the_end]', x=-2186.50, y=117.00, z=-5666.50] died: Shulker was slain by suberboy45ds
[01:46:11] [Server thread/INFO]: Named entity EntityShulker['Shulker'/29757, l='ServerLevel[world_the_end]', x=-2183.50, y=112.00, z=-5664.50] died: Shulker was slain by suberboy45ds
[01:46:13] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28918, l='ServerLevel[world_the_end]', x=-2180.50, y=109.00, z=-5662.50] died: Shulker was slain by suberboy45ds
[01:47:29] [Server thread/INFO]: Named entity EntityShulker['Shulker'/29868, l='ServerLevel[world_the_end]', x=-2190.50, y=106.00, z=-5656.50] died: Shulker was slain by suberboy45ds
[01:47:43] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28919, l='ServerLevel[world_the_end]', x=-2188.50, y=119.00, z=-5654.50] died: Shulker was slain by suberboy45ds
[01:47:55] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28928, l='ServerLevel[world_the_end]', x=-2186.50, y=122.00, z=-5635.50] died: Shulker was slain by suberboy45ds
[01:48:13] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28929, l='ServerLevel[world_the_end]', x=-2190.50, y=127.00, z=-5631.50] died: Shulker was slain by suberboy45ds
[01:48:25] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28927, l='ServerLevel[world_the_end]', x=-2187.50, y=129.00, z=-5634.50] died: Shulker was slain by suberboy45ds
[01:49:06] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28862, l='ServerLevel[world_the_end]', x=-2120.50, y=125.00, z=-5661.50] died: Shulker was slain by suberboy45ds
[01:49:25] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28856, l='ServerLevel[world_the_end]', x=-2101.50, y=123.00, z=-5663.50] died: Shulker was slain by suberboy45ds
[01:49:45] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28863, l='ServerLevel[world_the_end]', x=-2120.50, y=130.00, z=-5665.50] died: Shulker was slain by suberboy45ds
[01:51:21] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/30636, l='ServerLevel[world_the_end]', x=72.30, y=57.00, z=15.70] died: Enderman was slain by suberboy45ds
[01:51:27] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/30595, l='ServerLevel[world_the_end]', x=57.12, y=58.00, z=28.54] died: Enderman was slain by suberboy45ds
[01:51:29] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/30638, l='ServerLevel[world_the_end]', x=51.84, y=59.00, z=28.42] died: Enderman was slain by suberboy45ds
[02:04:15] [Server thread/INFO]: [0;33;22m([0;32;1mmcMMO[0;33;22m) suberboy45ds[0;37;22m has reached a Power level of [0;32;1m2,100[0;37;22m![m
[02:06:22] [Server thread/INFO]: Named entity EntityZombie['Zombie'/35240, l='ServerLevel[world]', x=-736.68, y=63.00, z=-116.43] died: Zombie was slain by suberboy45ds using [Don's Knife #1]
[02:21:02] [Server thread/INFO]: Named entity EntityCreeper['Creeper'/36244, l='ServerLevel[world]', x=-746.88, y=174.50, z=-108.98] died: Creeper was slain by suberboy45ds using [Don's Pickaxe #2]
[02:21:03] [Server thread/INFO]: Named entity EntityCreeper['Creeper'/36245, l='ServerLevel[world]', x=-746.96, y=174.50, z=-109.64] died: Creeper was slain by suberboy45ds using [Don's Knife #1]
[02:21:04] [Server thread/INFO]: Named entity EntityCreeper['Creeper'/36246, l='ServerLevel[world]', x=-747.70, y=174.50, z=-109.60] died: Creeper was slain by suberboy45ds using [Don's Knife #1]
[02:39:44] [Server thread/INFO]: Named entity EntityDrowned['Drowned'/43269, l='ServerLevel[world]', x=-725.07, y=61.52, z=-120.15] died: Drowned was slain by suberboy45ds using [Don's Knife #1]
[02:45:14] [Server thread/INFO]: suberboy45ds lost connection: Disconnected
[02:45:14] [Server thread/INFO]: suberboy45ds left the game
[02:45:21] [Server thread/INFO]: Stopping the server
[02:45:21] [Server thread/INFO]: Stopping server
[02:45:21] [Server thread/INFO]: [KeepDeathDrop] Disabling KeepDeathDrop v1.0.7
[02:45:21] [Server thread/INFO]: [KeepDeathDrop] Disabled!
[02:45:21] [Server thread/INFO]: [mcMMO] Disabling mcMMO v2.1.231
[02:45:21] [Server thread/INFO]: [mcMMO] Server shutdown has been executed, saving and cleaning up data...
[02:45:21] [Server thread/INFO]: [mcMMO] Saving mcMMOPlayers... (0)
[02:45:21] [Server thread/INFO]: [mcMMO] Finished save operation for 0 players!
[02:45:21] [Server thread/INFO]: [OnePlayerSleep] Disabling OnePlayerSleep v1.2
[02:45:21] [Server thread/INFO]: [ClearLag] Disabling ClearLag v3.2.2
[02:45:21] [Server thread/INFO]: [ClearLag] Clearlag is now disabled!
[02:45:21] [Server thread/INFO]: Saving players
[02:45:22] [Server thread/INFO]: Saving worlds
[02:45:22] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[02:45:22] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world_nether]'/minecraft:the_nether
[02:45:23] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world_the_end]'/minecraft:the_end
[02:45:23] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[02:45:23] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[02:45:23] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[02:45:23] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
